Year,Geo_Level,State,State_ANSI,Ag_District,Ag_District_Code,County,County_ANSI,Value
2022,COUNTY,ALABAMA,01,BLACK BELT,40,AUTAUGA,001,258
2022,COUNTY,ALABAMA,01,BLACK BELT,40,BULLOCK,011,48
2022,COUNTY,ALABAMA,01,BLACK BELT,40,DALLAS,047,629
2022,COUNTY,ALABAMA,01,BLACK BELT,40,ELMORE,051,305
2022,COUNTY,ALABAMA,01,BLACK BELT,40,GREENE,063,40
2022,COUNTY,ALABAMA,01,BLACK BELT,40,HALE,065,87
2022,COUNTY,ALABAMA,01,BLACK BELT,40,LOWNDES,085,60
2022,COUNTY,ALABAMA,01,BLACK BELT,40,MACON,087,148
2022,COUNTY,ALABAMA,01,BLACK BELT,40,MARENGO,091,61
2022,COUNTY,ALABAMA,01,BLACK BELT,40,MONTGOMERY,101,588
2022,COUNTY,ALABAMA,01,BLACK BELT,40,PERRY,105,160
2022,COUNTY,ALABAMA,01,BLACK BELT,40,SUMTER,119,14
2022,COUNTY,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,BALDWIN,003,739
2022,COUNTY,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,BUTLER,013,128
2022,COUNTY,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,CHOCTAW,023, (D)
2022,COUNTY,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,CLARKE,025,44
2022,COUNTY,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,CONECUH,035,60
2022,COUNTY,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,053,151
2022,COUNTY,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,MOBILE,097,436
2022,COUNTY,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,MONROE,099,64
2022,COUNTY,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,83
2022,COUNTY,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,WILCOX,131,18
2022,COUNTY,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,009,479
2022,COUNTY,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,015,578
2022,COUNTY,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,019,128
2022,COUNTY,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,029,16
2022,COUNTY,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,043,299
2022,COUNTY,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,DE KALB,049,538
2022,COUNTY,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,055,385
2022,COUNTY,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,JACKSON,071,149
2022,COUNTY,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,095,224
2022,COUNTY,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,317
2022,COUNTY,ALABAMA,01,NORTHERN VALLEY,10,COLBERT,033,22
2022,COUNTY,ALABAMA,01,NORTHERN VALLEY,10,FRANKLIN,059,160
2022,COUNTY,ALABAMA,01,NORTHERN VALLEY,10,LAUDERDALE,077,183
2022,COUNTY,ALABAMA,01,NORTHERN VALLEY,10,LAWRENCE,079,93
2022,COUNTY,ALABAMA,01,NORTHERN VALLEY,10,LIMESTONE,083,394
2022,COUNTY,ALABAMA,01,NORTHERN VALLEY,10,MADISON,089,817
2022,COUNTY,ALABAMA,01,NORTHERN VALLEY,10,MARION,093,113
2022,COUNTY,ALABAMA,01,NORTHERN VALLEY,10,MORGAN,103,153
2022,COUNTY,ALABAMA,01,NORTHERN VALLEY,10,WINSTON,133,59
