Year,Geo_Level,State,State_ANSI,Ag_District,Ag_District_Code,County,County_ANSI,Value
2022,STATE,ALABAMA,01,,,,,"16,709"
2022,STATE,ALASKA,02,,,,,597
2022,STATE,ARIZONA,04,,,,,"28,275"
2022,STATE,ARKANSAS,05,,,,,"21,767"
2022,STATE,CALIFORNIA,06,,,,,"1,352,932"
2022,STATE,COLORADO,08,,,,,"12,722"
2022,STATE,CONNECTICUT,09,,,,,"6,227"
2022,STATE,DELAWARE,10,,,,,620
2022,STATE,FLORIDA,12,,,,,"318,948"
2022,STATE,GEORGIA,13,,,,,"174,196"
2022,STATE,HAWAII,15,,,,,"25,961"
2022,STATE,IDAHO,16,,,,,"154,589"
2022,STATE,ILLINOIS,17,,,,,"24,531"
2022,STATE,INDIANA,18,,,,,"20,996"
2022,STATE,IOWA,19,,,,,"50,802"
2022,STATE,KANSAS,20,,,,,"10,829"
2022,STATE,KENTUCKY,21,,,,,"22,738"
2022,STATE,LOUISIANA,22,,,,,"62,489"
2022,STATE,MAINE,23,,,,,"7,036"
2022,STATE,MARYLAND,24,,,,,"11,114"
2022,STATE,MASSACHUSETTS,25,,,,,"9,281"
2022,STATE,MICHIGAN,26,,,,,"98,758"
2022,STATE,MINNESOTA,27,,,,,"121,824"
2022,STATE,MISSISSIPPI,28,,,,,"37,617"
2022,STATE,MISSOURI,29,,,,,"19,833"
2022,STATE,MONTANA,30,,,,,"123,698"
2022,STATE,NEBRASKA,31,,,,,"16,457"
2022,STATE,NEVADA,32,,,,,"3,005"
2022,STATE,NEW HAMPSHIRE,33,,,,,"3,444"
2022,STATE,NEW JERSEY,34,,,,,"19,293"
2022,STATE,NEW MEXICO,35,,,,,"12,606"
2022,STATE,NEW YORK,36,,,,,"47,612"
2022,STATE,NORTH CAROLINA,37,,,,,"37,396"
2022,STATE,NORTH DAKOTA,38,,,,,"114,913"
2022,STATE,OHIO,39,,,,,"38,802"
2022,STATE,OKLAHOMA,40,,,,,"22,993"
2022,STATE,OREGON,41,,,,,"127,382"
2022,STATE,PENNSYLVANIA,42,,,,,"51,500"
2022,STATE,RHODE ISLAND,44,,,,,"1,446"
2022,STATE,SOUTH CAROLINA,45,,,,,"23,706"
2022,STATE,SOUTH DAKOTA,46,,,,,"43,863"
2022,STATE,TENNESSEE,47,,,,,"24,212"
2022,STATE,TEXAS,48,,,,,"271,049"
2022,STATE,UTAH,49,,,,,"24,409"
2022,STATE,VERMONT,50,,,,,"13,226"
2022,STATE,VIRGINIA,51,,,,,"23,116"
2022,STATE,WASHINGTON,53,,,,,"74,985"
